amount,amount_balls,amount_name,amount_type,away_team_id,batting_first_team_id,bpo,floodlit,floodlit_name,ground_id,ground_latitude,ground_longitude,ground_name,home_team_id,rain_rule,rain_rule_name,team1_abbreviation,team1_id,team1_class_id,team1_object_id,team2_abbreviation,team2_id,team2_class_id,team2_object_id,tiebreaker_name,tiebreaker_type,tiebreaker_team_id,toss_winner_team_id,winner_team_id,ground_object_id,period,balls_faced,batted,batting_position,dismissal,dismissal_card,ducks,fielder_keeper,fielder_sub,fifty_plus,fours,hundreds,innings,innings_number,minutes,notouts,outs,retired_description,runs,sixes,strike_rate,style_type,description,short_description,date_of_birth,position
6,2,wickets,3,5143,5143,0,2,day/night match,292,22.564608,88.343315,"Eden Gardens, Kolkata",4341,0,,KKR,4341,6,335971,SRH,5143,6,628333,,0,0,4341,4341,57980,1,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,bowling,Legbreak googly,Lbg,9/20/1998,BLA
6,2,wickets,3,5143,5143,0,2,day/night match,292,22.564608,88.343315,"Eden Gardens, Kolkata",4341,0,,KKR,4341,6,335971,SRH,5143,6,628333,,0,0,4341,4341,57980,1,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,batting,Right-hand bat,Rhb,9/20/1998,BLA
6,2,wickets,3,5143,5143,0,2,day/night match,292,22.564608,88.343315,"Eden Gardens, Kolkata",4341,0,,KKR,4341,6,335971,SRH,5143,6,628333,,0,0,4341,4341,57980,1,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,bowling,Right-arm medium,Rm,5/18/1993,BL
6,2,wickets,3,5143,5143,0,2,day/night match,292,22.564608,88.343315,"Eden Gardens, Kolkata",4341,0,,KKR,4341,6,335971,SRH,5143,6,628333,,0,0,4341,4341,57980,1,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,batting,Right-hand bat,Rhb,5/18/1993,BL
6,2,wickets,3,5143,5143,0,2,day/night match,292,22.564608,88.343315,"Eden Gardens, Kolkata",4341,0,,KKR,4341,6,335971,SRH,5143,6,628333,,0,0,4341,4341,57980,1,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,bowling,Right-arm medium,Rm,5/19/1990,BL
6,2,wickets,3,5143,5143,0,2,day/night match,292,22.564608,88.343315,"Eden Gardens, Kolkata",4341,0,,KKR,4341,6,335971,SRH,5143,6,628333,,0,0,4341,4341,57980,1,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,batting,Right-hand bat,Rhb,5/19/1990,BL
4,0,runs,2,4342,4342,0,3,night match,713,18.939007,72.82579,"Wankhede Stadium, Mumbai",4345,0,,RR,4345,6,335977,PBKS,4342,6,335973,,0,0,4345,4342,58324,2,3,1,1,1,c,1,0,0,0,0,0,1,2,4,0,1,0,0,0,0,bowling,Right-arm fast-medium,Rfm,06-04-1991,AR
4,0,runs,2,4342,4342,0,3,night match,713,18.939007,72.82579,"Wankhede Stadium, Mumbai",4345,0,,RR,4345,6,335977,PBKS,4342,6,335973,,0,0,4345,4342,58324,2,3,1,1,1,c,1,0,0,0,0,0,1,2,4,0,1,0,0,0,0,batting,Left-hand bat,Lhb,06-04-1991,AR
4,0,runs,2,4342,4342,0,3,night match,713,18.939007,72.82579,"Wankhede Stadium, Mumbai",4345,0,,RR,4345,6,335977,PBKS,4342,6,335973,,0,0,4345,4342,58324,2,63,1,3,1,c,0,0,0,1,12,1,1,2,112,0,1,0,119,7,188.88,batting,Right-hand bat,Rhb,11-11-1994,WBT
4,0,runs,2,4342,4342,0,3,night match,713,18.939007,72.82579,"Wankhede Stadium, Mumbai",4345,0,,RR,4345,6,335977,PBKS,4342,6,335973,,0,0,4345,4342,58324,2,13,1,4,2,0,0,0,0,0,5,0,1,2,23,0,1,0,25,0,192.3,batting,Right-hand bat,Rhb,09-08-1990,WBT
